Total allocated: 30.00 MB (397282 objects)
Total retained:  24.48 kB (125 objects)

allocated memory by gem
-----------------------------------
  18.15 MB  rubyXL-40875fa975df
   7.03 MB  rubyzip-2.3.2
   4.68 MB  nokogiri-1.13.1
  71.42 kB  other
  65.72 kB  pathname

allocated memory by file
-----------------------------------
  15.22 MB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb
   6.57 MB  rubyzip-2.3.2/lib/zip/inflater.rb
   4.46 MB  nokogiri-1.13.1/lib/nokogiri/xml/node.rb
   2.91 MB  rubyXL-40875fa975df/lib/rubyXL/objects/reference.rb
 305.16 kB  rubyzip-2.3.2/lib/zip/crypto/decrypted_io.rb
 216.92 kB  nokogiri-1.13.1/lib/nokogiri/xml/document.rb
  78.70 kB  rubyzip-2.3.2/lib/zip/input_stream.rb
  71.34 kB  fix_default_hash.rb
  65.72 kB  ruby/lib/pathname.rb
  33.32 kB  rubyzip-2.3.2/lib/zip/entry.rb
  22.69 kB  rubyzip-2.3.2/lib/zip/central_directory.rb
   9.60 kB  rubyXL-40875fa975df/lib/rubyXL/objects/relationships.rb
   9.31 kB  rubyzip-2.3.2/lib/zip/entry_set.rb
   3.60 kB  rubyzip-2.3.2/lib/zip/ioextras/abstract_input_stream.rb
   2.54 kB  rubyXL-40875fa975df/lib/rubyXL/objects/stylesheet.rb
   2.49 kB  rubyzip-2.3.2/lib/zip/dos_time.rb
   2.22 kB  rubyXL-40875fa975df/lib/rubyXL/objects/font.rb
   2.05 kB  rubyXL-40875fa975df/lib/rubyXL/objects/workbook.rb
   1.49 kB  rubyXL-40875fa975df/lib/rubyXL/objects/fill.rb
   1.14 kB  rubyzip-2.3.2/lib/zip/file.rb
  800.00 B  rubyXL-40875fa975df/lib/rubyXL/objects/container_nodes.rb
  720.00 B  rubyzip-2.3.2/lib/zip/extra_field.rb
  704.00 B  rubyXL-40875fa975df/lib/rubyXL/objects/root.rb
  664.00 B  rubyXL-40875fa975df/lib/rubyXL/worksheet.rb
  472.00 B  rubyXL-40875fa975df/lib/rubyXL/objects/border.rb
  232.00 B  rubyXL-40875fa975df/lib/rubyXL/objects/shared_strings.rb
   40.00 B  /private/tmp/rubyxl_memory_usage/operate.rb
   40.00 B  /private/tmp/rubyxl_memory_usage/profier.rb

allocated memory by location
-----------------------------------
   6.31 MB  rubyzip-2.3.2/lib/zip/inflater.rb:19
   3.59 MB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:233
   3.22 MB  nokogiri-1.13.1/lib/nokogiri/xml/node.rb:516
   2.21 MB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:229
   1.86 MB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:154
   1.57 MB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:211
   1.32 MB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:248
   1.28 MB  rubyXL-40875fa975df/lib/rubyXL/objects/reference.rb:92
   1.25 MB  nokogiri-1.13.1/lib/nokogiri/xml/node.rb:517
 992.50 kB  rubyXL-40875fa975df/lib/rubyXL/objects/reference.rb:93
 886.40 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:126
 675.71 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:151
 625.35 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:143
 624.44 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:136
 382.70 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:127
 362.00 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:159
 345.28 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:179
 320.12 kB  rubyXL-40875fa975df/lib/rubyXL/objects/reference.rb:21
 320.08 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:203
 257.58 kB  rubyzip-2.3.2/lib/zip/inflater.rb:33
 210.68 kB  nokogiri-1.13.1/lib/nokogiri/xml/document.rb:69
 206.98 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:244
 176.54 kB  rubyzip-2.3.2/lib/zip/crypto/decrypted_io.rb:19
 160.40 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:132
 160.04 kB  rubyXL-40875fa975df/lib/rubyXL/objects/reference.rb:26
 160.04 kB  rubyXL-40875fa975df/lib/rubyXL/objects/reference.rb:27
 127.90 kB  rubyzip-2.3.2/lib/zip/crypto/decrypted_io.rb:37
