Total allocated: 18.37 MB (381160 objects)
Total retained:  15.90 kB (239 objects)

allocated memory by gem
-----------------------------------
  13.38 MB  rubyXL-40875fa975df
   4.60 MB  nokogiri-1.13.1
 227.02 kB  pathname
  87.54 kB  rubyzip-2.3.2
  73.68 kB  other
  584.00 B  fileutils
   40.00 B  singleton

allocated memory by file
-----------------------------------
   9.63 MB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb
   3.06 MB  nokogiri-1.13.1/lib/nokogiri/xml/node.rb
   1.60 MB  rubyXL-40875fa975df/lib/rubyXL/objects/reference.rb
   1.54 MB  nokogiri-1.13.1/lib/nokogiri/xml/document.rb
 800.00 kB  rubyXL-40875fa975df/lib/rubyXL/objects/sheet_data.rb
 712.25 kB  rubyXL-40875fa975df/lib/rubyXL/worksheet.rb
 440.91 kB  rubyXL-40875fa975df/lib/rubyXL/objects/worksheet.rb
 227.02 kB  ruby/lib/pathname.rb
  70.73 kB  /private/tmp/rubyxl_memory_usage/operate.rb
  52.30 kB  rubyXL-40875fa975df/lib/rubyXL/convenience_methods/font.rb
  39.13 kB  rubyzip-2.3.2/lib/zip/deflater.rb
  36.80 kB  rubyXL-40875fa975df/lib/rubyXL/convenience_methods/cell.rb
  36.29 kB  rubyXL-40875fa975df/lib/rubyXL/convenience_methods/workbook.rb
  33.60 kB  rubyXL-40875fa975df/lib/rubyXL/objects/color.rb
  28.83 kB  rubyzip-2.3.2/lib/zip/output_stream.rb
  11.70 kB  rubyXL-40875fa975df/lib/rubyXL/objects/workbook.rb
   9.63 kB  rubyzip-2.3.2/lib/zip/entry.rb
   6.60 kB  rubyXL-40875fa975df/lib/rubyXL/objects/relationships.rb
   5.76 kB  rubyzip-2.3.2/lib/zip/extra_field.rb
   4.49 kB  rubyXL-40875fa975df/lib/rubyXL/objects/content_types.rb
   3.04 kB  rubyXL-40875fa975df/lib/rubyXL/objects/document_properties.rb
   2.93 kB  rubyzip-2.3.2/lib/zip/entry_set.rb
   2.91 kB  <internal:pack>
   2.32 kB  rubyXL-40875fa975df/lib/rubyXL/objects/stylesheet.rb
   2.03 kB  rubyXL-40875fa975df/lib/rubyXL/objects/root.rb
   1.78 kB  rubyXL-40875fa975df/lib/rubyXL/objects/font.rb
   1.17 kB  rubyXL-40875fa975df/lib/rubyXL/objects/fill.rb
   1.09 kB  rubyXL-40875fa975df/lib/rubyXL/objects/container_nodes.rb
  720.00 B  nokogiri-1.13.1/lib/nokogiri/html5/node.rb
  720.00 B  rubyzip-2.3.2/lib/zip/crypto/null_encryption.rb
  584.00 B  ruby/lib/fileutils.rb
  408.00 B  rubyXL-40875fa975df/lib/rubyXL/objects/border.rb
  400.00 B  rubyzip-2.3.2/lib/zip/dos_time.rb
  273.00 B  nokogiri-1.13.1/lib/nokogiri/class_resolver.rb
  200.00 B  rubyXL-40875fa975df/lib/rubyXL/objects/theme.rb
  144.00 B  rubyzip-2.3.2/lib/zip/central_directory.rb
   40.00 B  ruby/lib/singleton.rb
   40.00 B  /private/tmp/rubyxl_memory_usage/profier.rb
   40.00 B  rubyXL-40875fa975df/lib/rubyXL/objects/column_range.rb
   40.00 B  rubyXL-40875fa975df/lib/rubyXL/objects/shared_strings.rb
   40.00 B  nokogiri-1.13.1/lib/nokogiri/xml/document_fragment.rb
   40.00 B  nokogiri-1.13.1/lib/nokogiri/xml/node_set.rb

allocated memory by location
-----------------------------------
   3.64 MB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:233
   2.04 MB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:224
   1.97 MB  nokogiri-1.13.1/lib/nokogiri/xml/node.rb:1393
   1.55 MB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:295
   1.18 MB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:248
 742.96 kB  nokogiri-1.13.1/lib/nokogiri/xml/document.rb:223
 512.02 kB  rubyXL-40875fa975df/lib/rubyXL/worksheet.rb:43
 480.04 kB  rubyXL-40875fa975df/lib/rubyXL/objects/reference.rb:26
 480.04 kB  rubyXL-40875fa975df/lib/rubyXL/objects/reference.rb:27
 412.78 kB  nokogiri-1.13.1/lib/nokogiri/xml/node.rb:1194
 371.60 kB  nokogiri-1.13.1/lib/nokogiri/xml/node.rb:318
 371.48 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:316
 371.48 kB  nokogiri-1.13.1/lib/nokogiri/xml/document.rb:240
 329.24 kB  rubyXL-40875fa975df/lib/rubyXL/objects/ooxml_object.rb:229
